Event Name,Description,Start,End,Location,City,Relevance,Event URL,ERROR
Multiple Sclerosis Roadshow Mercer Island,Free Multiple Sclerosis workshop lunch with educational presentations by physicians and providers at the Swedish MS Center.,"June 10, 2023, 11:00","June 10, 2023, 15:00","8236 Southeast 24th Street Mercer Island, WA 98040",Mercer Island,FALSE.,https://www.eventbrite.com/e/multiple-sclerosis-roadshow-mercer-island-tickets-602792126477,
"""sustainabilityCAMPS: #4 Nachhaltigkeitsorientierte Unternehmenskultur""","This event discusses effective ways to establish sustainability strategies for businesses amidst the ongoing digital and sustainability transformations. The workshop provides theoretical and practical insights to strategize sustainable development that caters to companies of all levels. It is a half-day program that starts on August 29, 2023, from 09:00 to 13:00","August 29, 2023, 13:00","digitalHUB Aachen e.V. in der digitalCHURCH, Jülicher Straße 72a 52070 Aachen Germany",Aachen,TRUE.,https://www.eventbrite.de/e/sustainabilitycamps-4-nachhaltigkeitsorientierte-unternehmenskultur-tickets-528281071907,,X
Sustainability Festival,A festival of sustainability in Ryde,"June 17, 2023, 10:30","June 17, 2023, 4:00","Hunter's Hill Town Hall, NSW",Ryde,TRUE,https://www.eventbrite.com.au/e/sustainability-festival-tickets-616879371807,
sustainabilityCAMPS: #3 (ESG) Reporting," In this half-day workshop, attendees will learn how to report on their environmental, social, and governance (ESG) activities by complying with new laws and regulations such as the EU Taxonomy, CSR Directive, and Supply Chains Due Diligence Act"," June 6, 2023, 09:00"," June 6, 2023, 13:00", digitalHUB Aachen e.V., Jülicher Straße 72a 52070 Aachen Germany, Aachen, TRUE,X
Socially Inept: Tech Roast Show," 
Renegade tech comedians roast whimpering techies on stage in front of a live crowd. Can you feel it? AI’s cold shallow breath on the back of your useless tech job. GPTeeth ripping through your soft skills. The final season of humanity sucks. Musk as the villain is boring and “helpful bot kills everyone” has been done a million times. Take a break from life’s shitty storytelling and come watch us publicly shame tech nerds for the unspeakable horrors they have so awkwardly unleashed."," 
June 16, 2023, 8:00 PM"," June 16, 2023, 9:30 PM"," 
200 University Street Seattle, WA 98101"," 
Seattle"," 
FALSE.",https://www.eventbrite.com/e/socially-inept-tech-roast-show-tickets-633681687987,
Enchanted Kingdom,Follow this organizer to stay informed on future events,"October 28, 2023, 6:00 AM","October 29, 2023, 11:59 PM",Unknown,Unknown,FALSE.,https://www.eventbrite.com/e/enchanted-kingdom-tickets-598817448107,
BLASTFEST,"BLASTFEST is the brand new Afrobeats festival hitting The Seattle Center on July 29, 2023.","July 29, 2023, 2:00","July 29, 2023, 22:00","305 Harrison Street Seattle, WA 98109",Seattle,FALSE.,https://www.eventbrite.com/e/blastfest-tickets-586320970807,
Re-Evolution Festival,"A 3-Day Music Festival with Free Camping and Parking Included in Darrington, WA. Artists performing include The String Cheese Incident, Markus Schulz, Oliver Smith, and Luttrell.","August 4, 2023, 12:00"," August 6, 2023, 23:00","42501 State Route 530 Northeast Darrington, WA 98241",Darrington,FALSE,https://www.eventbrite.com/e/re-evolution-festival-music-camping-tickets-588576767957,
Seattle Tech Career Fair: Exclusive Tech Hiring Event,Tech Career Fair focus on helping companies achieve their diversity and inclusivity initiative with more diverse non-traditional candidates,"June 23, 2023, 9:00","June 23, 2023, 12:00","Online Seattle, WA 98101",Seattle,FALSE.,https://www.eventbrite.com/e/seattle-tech-career-fair-exclusive-tech-hiring-event-tickets-146585255445,
2023 North West Coast Dealer Meeting,Please join Greenworks Commercial for an invitation-only dealer event to preview and test drive this year’s product innovations.,"June 22, 2023, 8:00AM","June 23, 2023, 6:00PM","Silver Reef Casino Resort, 4876 Haxton Way Ferndale, WA 98248",Ferndale,FALSE,https://www.eventbrite.com/e/2023-north-west-coast-dealer-meeting-tickets-641304949367,
